ans	Most recent answer
matlab.io.datastore.FileSet	File-set for collection of files in datastore (Since R2020a)
matlab.io.datastore.FileWritable	Add file writing support to datastore (Since R2020a)
matlab.io.datastore.FoldersPropertyProvider	Add Folder property support to datastore (Since R2020a)
matlab.io.datastore.HadoopLocationBased	Add Hadoop support to datastore
matlab.io.datastore.Partitionable	Add parallelization support to datastore
matlab.io.datastore.Shuffleable	Add shuffling support to datastore
matlab.io.datastore.Subsettable	Add subset and fine-grained parallelization support to datastore (Since R2022b)
numpartitions	Number of datastore partitions
parquetDatastore	Datastore for collection of Parquet files
partition	Partition a datastore
preview	Preview subset of data in datastore
read	Read data in datastore
readall	Read all data in datastore
reset	Reset datastore to initial state
SequentialDatastore	Sequentially read data from multiple underlying datastores (Since R2022b)
shuffle	Shuffle all data in datastore
spreadsheetDatastore	Datastore for spreadsheet files
subset	Create subset of datastore or FileSet
tabularTextDatastore	Datastore for tabular text files
TallDatastore	Datastore for checkpointing tall arrays
transform	Transform datastore
TransformedDatastore	Datastore to transform underlying datastore
writeall	Write datastore to files (Since R2020a)
Tall Arrays
classUnderlying	Class of underlying data in tall array
datastore	Create datastore for large collections of data
gather	Collect tall array into memory after executing queued operations
isaUnderlying	Determine if tall array data is of specified class
istall	Determine if input is tall array
mapreducer	Define execution environment for mapreduce or tall arrays
matlab.tall.blockMovingWindow	Apply moving window function and block reduction to padded blocks of data
matlab.tall.movingWindow	Apply moving window function to blocks of data
matlab.tall.reduce	Reduce arrays by applying reduction algorithm to blocks of data
matlab.tall.transform	Transform array by applying function handle to blocks of data
tall	Create tall array
tallrng	Control random number generation for tall arrays
write	Write tall array to local and remote locations for checkpointing
MapReduce
add	Add single key-value pair to KeyValueStore
addmulti	Add multiple key-value pairs to KeyValueStore
datastore	Create datastore for large collections of data
gcmr	Get current mapreducer configuration
getnext	Get next value from ValueIterator
hasnext	Determine if ValueIterator has one or more values available
KeyValueStore	Store key-value pairs for use with mapreduce
mapreduce	Programming technique for analyzing data sets that do not fit in memory
mapreducer	Define execution environment for mapreduce or tall arrays
ValueIterator	An iterator over intermediate values for use with mapreduce
Large MAT-Files
matfile	Access and change variables in MAT-file without loading file into memory
Parquet Files
parquetDatastore	Datastore for collection of Parquet files
parquetinfo	Get information about Parquet file
parquetread	Read columnar data from a Parquet file
parquetwrite	Write columnar data to Parquet file
rowfilter	Selectively import rows of interest (Since R2022a)
Memory Mapping
memmapfile	Create memory map to a file
Data Preprocessing
Clean and Inspect Data
Missing Values
anymissing	Determine if any array element is missing (Since R2022a)
fillmissing	Fill missing entries
fillmissing2	Fill missing entries in 2-D data (Since R2023a)
ismissing	Find missing values
rmmissing	Remove missing entries
standardizeMissing	Insert standard missing values
Outliers
clip	Clip data to range (Since R2024a)
filloutliers	Detect and replace outliers in data
isbetween	Determine which elements are within specified range
isoutlier	Find outliers in data
rmoutliers	Detect and remove outliers in data
Noise Reduction
movmean	Moving mean
movmedian	Moving median
movsum	Moving sum
smoothdata	Smooth noisy data
smoothdata2	Smooth noisy data in two dimensions (Since R2023b)
Local Extrema and Change Points
ischange	Find abrupt changes in data
islocalmax	Find local maxima
islocalmax2	Find local maxima in 2-D data (Since R2024a)
islocalmin	Find local minima
islocalmin2	Find local minima in 2-D data (Since R2024a)
Sampling
isregular	Determine if input times are regular with respect to time or calendar unit
isuniform	Determine if vector is uniformly spaced (Since R2022b)
retime	Resample or aggregate data in timetable, and resolve duplicate or irregular times
Reshape, Sort, and Resize
Reshape Tables
rows2vars	Reorient table or timetable so that rows become variables
stack	Stack data from input table or timetable into one variable in output table or timetable
unstack	Unstack data from one variable into multiple variables
Sort and Compare Elements
ismember	Find set members of data
ismembertol	Find set members of data within tolerance
issorted	Determine if array is sorted
issortedrows	Determine if matrix or table rows are sorted
sort	Sort array elements
sortrows	Sort rows of matrix or table
unique	Unique values
uniquetol	Unique values within tolerance
Resize
paddata	Pad data by adding elements (Since R2023b)
resize	Resize data by adding or removing elements (Since R2023b)
trimdata	Trim data by removing elements (Since R2023b)
Normalize and Remove Trends
detrend	Remove polynomial trend
normalize	Normalize data
rescale	Scale range of array elements
trenddecomp	Find trends in data (Since R2021b)
Bin, Group, and Summarize
accumarray	Accumulate vector elements
discretize	Group data into bins or categories
findgroups	Find groups and return group numbers
groupcounts	Number of group elements
groupfilter	Filter by group
groupsummary	Group summary computations
grouptransform	Transform by group
histcounts	Histogram bin counts
histcounts2	Bivariate histogram bin counts
pivot	Summarize tabular data in pivoted table (Since R2023a)
splitapply	Split data into groups and apply function
summary	Data summary
Descriptive Statistics
Basic Statistics
bounds	Minimum and maximum values of an array
max	Maximum elements of array
maxk	Find k largest elements of array
mean	Average or mean value of array
median	Median value of array
min	Minimum elements of array
mink	Find k smallest elements of array
mode	Most frequent values in array
rms	Root mean square value
std	Standard deviation
var	Variance
Percentiles and Quantiles
iqr	Interquartile range of data set
prctile	Percentiles of data set
quantile	Quantiles of data set
Forecasting Metrics
mape	Mean absolute percentage error between arrays (Since R2022b)
rmse	Root mean squared error between arrays (Since R2022b)
Covariance and Correlation
corrcoef	Correlation coefficients
cov	Covariance
xcorr	Cross-correlation
xcov	Cross-covariance
Cumulative Statistics
cummax	Cumulative maximum
cummin	Cumulative minimum
Moving Statistics
movmad	Moving median absolute deviation
movmax	Moving maximum
movmean	Moving mean
movmedian	Moving median
movmin	Moving minimum
movprod	Moving product
movstd	Moving standard deviation
movsum	Moving sum
movvar	Moving variance
Data Summary
summary	Data summary
Probability Distributions
kde	Kernel density estimate for univariate data (Since R2023b)
Data Exploration
plot	2-D line plot
scatter	Scatter plot
sonify	Convert numeric data to sound (Since R2024b)
Mathematics
Elementary Math
Arithmetic Operations
'	Complex conjugate transpose
*	Matrix multiplication
+	Add numbers, append strings
-	Subtraction
.'	Transpose vector or matrix
.*	Multiplication
./	Right array division
.\	Left array division
.^	Element-wise power
/	Solve systems of linear equations xA = B for x
\	Solve systems of linear equations Ax = B for x
^	Matrix power
bsxfun	Apply element-wise operation to two arrays with implicit expansion enabled
ceil	Round toward positive infinity
cumprod	Cumulative product
cumsum	Cumulative sum
diff	Differences and approximate derivatives
fix	Round toward zero
floor	Round toward negative infinity
idivide	Integer division with rounding option
mod	Remainder after division (modulo operation)
movsum	Moving sum
pagectranspose	Page-wise complex conjugate transpose (Since R2020b)
pagemldivide	Page-wise left matrix divide (Since R2022a)
pagemrdivide	Page-wise right matrix divide (Since R2022a)
pagemtimes	Page-wise matrix multiplication (Since R2020b)
pagetranspose	Page-wise transpose (Since R2020b)
prod	Product of array elements
rem	Remainder after division
round	Round to nearest decimal or integer
sum	Sum of array elements
tensorprod	Tensor products between two tensors (Since R2022a)
uminus	Unary minus
uplus	Unary plus
Trigonometry
acos	Inverse cosine in radians
acosd	Inverse cosine in degrees
acosh	Inverse hyperbolic cosine
acot	Inverse cotangent in radians
acotd	Inverse cotangent in degrees
acoth	Inverse hyperbolic cotangent
acsc	Inverse cosecant in radians
acscd	Inverse cosecant in degrees
acsch	Inverse hyperbolic cosecant
asec	Inverse secant in radians
asecd	Inverse secant in degrees
asech	Inverse hyperbolic secant
asin	Inverse sine in radians
asind	Inverse sine in degrees
asinh	Inverse hyperbolic sine
atan	Inverse tangent in radians
atan2	Four-quadrant inverse tangent
atan2d	Four-quadrant inverse tangent in degrees
atand	Inverse tangent in degrees
atanh	Inverse hyperbolic tangent
cart2pol	Transform Cartesian coordinates to polar or cylindrical
cart2sph	Transform Cartesian coordinates to spherical
cos	Cosine of argument in radians
cosd	Cosine of argument in degrees
cosh	Hyperbolic cosine
cospi	Compute cos(X*pi) accurately
cot	Cotangent of angle in radians
cotd	Cotangent of argument in degrees
coth	Hyperbolic cotangent
csc	Cosecant of input angle in radians
cscd	Cosecant of argument in degrees
csch	Hyperbolic cosecant
deg2rad	Convert angle from degrees to radians
hypot	Square root of sum of squares (hypotenuse)
pol2cart	Transform polar or cylindrical coordinates to Cartesian
rad2deg	Convert angle from radians to degrees
sec	Secant of angle in radians
secd	Secant of argument in degrees
sech	Hyperbolic secant
sin	Sine of argument in radians
sind	Sine of argument in degrees
sinh	Hyperbolic sine
sinpi	Compute sin(X*pi) accurately
sph2cart	Transform spherical coordinates to Cartesian
tan	Tangent of argument in radians
tand	Tangent of argument in degrees
tanh	Hyperbolic tangent
Exponents and Logarithms
exp	Exponential
expm1	Compute exp(X)-1 accurately for small X
log	Natural logarithm
log10	Common logarithm (base 10)
log1p	Compute natural logarithm of 1+X accurately for small X
log2	Base 2 logarithm and floating-point number dissection
nextpow2	Exponent of next higher power of 2
nthroot	Real nth root of real numbers
pow2	Base 2 exponentiation and scaling of floating-point numbers
reallog	Natural logarithm for nonnegative real arrays
realpow	Array power for real-only output
realsqrt	Square root for nonnegative real arrays
